country_long,,estimated_generation_gwh
Myanmar,13226,777.5429326287979
Myanmar,13203,733.0723087209856
Myanmar,13206,733.0723087209856
Myanmar,13205,544.2800528401584
Myanmar,13211,484.9116439010411
Myanmar,13227,437.37128665584106
Namibia,13243,1485.0
Namibia,13242,5.555926544240401
Namibia,13237,5.2737896494156935
Namibia,13238,2.1702838063439063
Namibia,13239,0.0
Namibia,13240,0.0
Namibia,13241,0.0
Namibia,13244,0.0
Nepal,13248,977.8940765301547
Nepal,13253,475.3651760910475
Nepal,13252,468.5742450040326
Nepal,13249,407.4558652208979
Nepal,13250,407.4558652208979
Nepal,13245,305.59189891567337
Nepal,13251,217.30979478447892
Nepal,13256,162.98234608835918
Nepal,13247,101.86396630522448
Nepal,13254,100.50578008782148
Netherlands,13269,13638.501932989693
Netherlands,13270,10343.369890329013
Netherlands,13295,7253.580541237115
Netherlands,13294,7111.066799601196
Netherlands,13293,6723.190428713859
Netherlands,13273,5527.327963917524
Netherlands,13297,4868.917525773196
Netherlands,13307,4813.588917525774
Netherlands,13281,4428.2552342971085
Netherlands,13258,4091.0
New Zealand,13325,5636.435897435898
New Zealand,13331,4436.827711941659
New Zealand,13338,3815.671832269827
New Zealand,13319,2994.85870556062
New Zealand,13320,2395.886964448496
New Zealand,13326,1962.0
New Zealand,13332,1952.2041932543302
New Zealand,13335,1503.90990990991
New Zealand,13351,1438.5225225225226
New Zealand,13336,1329.5435435435436
Nicaragua,13365,357.79390063944913
Nicaragua,13371,341.4088050314465
Nicaragua,13362,322.5184456468274
Nicaragua,13368,320.59119496855345
Nicaragua,13358,308.4082636497787
Nicaragua,13367,289.2587309394983
Nicaragua,13360,274.14067879980325
Nicaragua,13372,257.0068863748156
Nicaragua,13363,205.82375478927202
Nicaragua,13364,189.17624521072798
Niger,13373,494.0
Niger,13378,84.56769983686787
Niger,13377,43.06688417618271
Niger,13376,22.833278955954324
Niger,13374,22.739314845024467
Niger,13375,18.79282218597064
Nigeria,13379,6183.277241379312
Nigeria,13386,4317.931034482759
Nigeria,13380,3229.812413793104
Nigeria,13388,2878.6206896551726
Nigeria,13383,2590.7586206896553
Nigeria,13389,2590.7586206896553
Nigeria,13385,2138.4
Nigeria,13390,1688.2105263157896
Nigeria,13384,1519.3894736842105
Nigeria,13381,1295.3793103448277
North Korea,13414,2391.590013140604
North Korea,13419,1646.7805519053875
North Korea,13403,1366.622864651774
North Korea,13420,1366.622864651774
North Korea,13421,1366.622864651774
North Korea,13404,1279.8815472885435
North Korea,13408,1184.5203679369251
North Korea,13400,1024.9671484888304
North Korea,13401,768.7253613666229
North Korea,13410,691.1695137976347
Norway,13603,6474.449826081249
Norway,13435,6268.200039377831
Norway,13710,5066.570847279649
Norway,13699,3497.278991927545
Norway,13704,3228.257531010041
Norway,13673,3022.0077443066216
Norway,13608,2600.5407888692002
Norway,13664,2555.703878716283
Norway,13709,2152.1716873400273
Norway,13559,2062.497867034193
Oman,13735,5823.2758620689665
Oman,13733,4169.465517241379
Oman,13732,3983.120689655172
Oman,13734,3680.3103448275865
Oman,13729,2795.172413793104
Oman,13728,2742.7629310344832
Oman,13736,1892.564655172414
Oman,13730,1659.6336206896551
Oman,13731,1624.6939655172416
Pakistan,13787,13681.108440973265
Pakistan,13756,11122.701009684732
Pakistan,13739,10847.216154955695
Pakistan,13752,5703.739861820368
Pakistan,13790,5432.156326673677
Pakistan,13764,5381.1835386001785
Pakistan,13741,4614.655760054533
Pakistan,13767,3933.6136978071495
Pakistan,13791,3745.036102348405
Pakistan,13774,3142.249124253039
Panama,13801,1420.8298052497885
Panama,13807,1250.487804878049
Panama,13798,1231.385831216483
Panama,13800,1053.3084956251764
Panama,13795,768.5289634146343
Panama,13796,703.3993902439024
Panama,13808,695.5838414634147
Panama,13797,687.0
Panama,13802,568.3319220999152
Panama,13805,259.538244425628
Paraguay,13810,44170.319634703206
Paraguay,13811,9780.570776255709
Paraguay,13809,1325.1095890410961
Peru,13813,6476.12853695986
Peru,13824,4668.106588146966
Peru,13816,3598.5057716672136
Peru,13819,2837.2362629627887
Peru,13834,2789.197362864248
Peru,13840,2568.6105766974797
Peru,13837,2406.8469335085165
Peru,13821,2093.7859179644656
Peru,13814,2004.5159757256708
Peru,13818,1785.3988447759011
Philippines,13881,6964.230430958663
Philippines,13925,5808.091468777484
Philippines,13935,4610.9711039593185
Philippines,13912,4368.68690802057
Philippines,13869,3407.1215053886604
Philippines,13938,3403.2797316307756
Philippines,13918,2904.045734388742
Philippines,13897,2498.5557706183504
Philippines,13890,2469.6366194134835
Philippines,13928,2465.6992084432723
Poland,13943,23251.625440098192
Poland,14086,11358.113085047966
Poland,14106,9512.953488372092
